maintenance_id,equipment_id,site_id,date_key,maintenance_date,maintenance_type,service_category,duration_hours,labor_cost,parts_cost,technician
MNT00001,TRK001,PB01,20240101,2024-01-01 00:00:00,Scheduled,Brake Inspection,5.8,2067.01,7207.47,Tech-E
MNT00002,TRK001,PB01,20240101,2024-01-01 00:00:00,Scheduled,Filter Replacement,2.6,833.16,1874.04,Tech-C
MNT00003,TRK001,PB01,20240101,2024-01-01 00:00:00,Scheduled,Fluid Top-Up,2.2,983.69,6533.63,Tech-A
MNT00004,TRK001,PB01,20240101,2024-01-01 00:00:00,Scheduled,Preventive Service,5.9,1994.06,3854.03,Tech-C
MNT00005,TRK001,PB01,20240101,2024-01-01 00:00:00,Scheduled,Preventive Service,3.9,2159.93,7122.03,Tech-E
MNT00006,TRK001,PB01,20240101,2024-01-01 00:00:00,Scheduled,Brake Inspection,4.5,2401.09,7869.57,Tech-C
MNT00007,TRK001,PB01,20240101,2024-01-01 00:00:00,Scheduled,Brake Inspection,3.7,2416.75,2940.52,Tech-B
MNT00008,TRK001,PB01,20240101,2024-01-01 00:00:00,Scheduled,Fluid Top-Up,5.2,1362.85,3002.64,Tech-C
MNT00009,TRK001,PB01,20240101,2024-01-01 00:00:00,Scheduled,Filter Replacement,5.3,1967.83,6104.51,Tech-A
MNT00010,TRK001,PB01,20240101,2024-01-01 00:00:00,Scheduled,Fluid Top-Up,3.8,809.49,4732.44,Tech-A
MNT00011,TRK001,PB01,20240101,2024-01-01 00:00:00,Scheduled,Filter Replacement,2.8,826.2,7820.22,Tech-B
MNT00012,TRK001,PB01,20240101,2024-01-01 00:00:00,Scheduled,Filter Replacement,5.1,2008.69,3190.0,Tech-E
MNT00013,TRK001,PB01,20240101,2024-01-01 00:00:00,Scheduled,Oil Change,2.1,869.09,7026.27,Tech-D
MNT00014,TRK001,PB01,20240101,2024-01-01 00:00:00,Scheduled,Fluid Top-Up,2.7,2278.39,1622.52,Tech-B
MNT00015,TRK001,PB01,20240101,2024-01-01 00:00:00,Scheduled,Filter Replacement,2.2,1470.28,6187.76,Tech-D
MNT00016,TRK001,PB01,20240101,2024-01-01 00:00:00,Scheduled,Oil Change,5.2,1391.93,7365.17,Tech-B
MNT00017,TRK001,PB01,20240101,2024-01-01 00:00:00,Scheduled,Tire Rotation,3.4,888.15,4222.59,Tech-E
MNT00018,TRK001,PB01,20240101,2024-01-01 00:00:00,Scheduled,Fluid Top-Up,5.0,1322.7,6305.25,Tech-C
MNT00019,TRK001,PB01,20240101,2024-01-01 00:00:00,Scheduled,Tire Rotation,4.5,1600.58,6882.36,Tech-B
MNT00020,TRK001,PB01,20240101,2024-01-01 00:00:00,Scheduled,Filter Replacement,5.3,1361.81,7480.9,Tech-D
MNT00021,TRK001,PB01,20240101,2024-01-01 00:00:00,Scheduled,Brake Inspection,3.7,1388.24,4335.31,Tech-A
MNT00022,TRK001,PB01,20240101,2024-01-01 00:00:00,Scheduled,Oil Change,3.0,2043.41,5626.46,Tech-B
MNT00023,TRK001,PB01,20240101,2024-01-01 00:00:00,Scheduled,Preventive Service,6.0,1143.97,2049.68,Tech-A
MNT00024,TRK001,PB01,20240101,2024-01-01 00:00:00,Scheduled,Filter Replacement,2.5,1452.94,4913.13,Tech-E
MNT00025,TRK001,PB01,20240101,2024-01-01 00:00:00,Scheduled,Preventive Service,4.5,1804.28,4291.71,Tech-A
MNT00026,TRK001,PB01,20240101,2024-01-01 00:00:00,Scheduled,Tire Rotation,3.3,2283.79,4689.87,Tech-B
MNT00027,TRK001,PB01,20240101,2024-01-01 00:00:00,Scheduled,Oil Change,4.2,2293.49,2407.15,Tech-D
MNT00028,TRK001,PB01,20240101,2024-01-01 00:00:00,Scheduled,Brake Inspection,4.1,1232.93,5326.6,Tech-A
MNT00029,TRK001,PB01,20240101,2024-01-01 00:00:00,Scheduled,Oil Change,4.0,917.73,2449.93,Tech-E
MNT00030,TRK002,PB01,20240101,2024-01-01 00:00:00,Scheduled,Tire Rotation,5.1,1421.04,7014.8,Tech-A
MNT00031,TRK002,PB01,20240101,2024-01-01 00:00:00,Scheduled,Filter Replacement,4.8,2475.25,6178.55,Tech-B
MNT00032,TRK002,PB01,20240101,2024-01-01 00:00:00,Scheduled,Tire Rotation,2.0,876.85,5510.24,Tech-D
MNT00033,TRK002,PB01,20240101,2024-01-01 00:00:00,Scheduled,Fluid Top-Up,3.8,1811.45,6477.07,Tech-C
MNT00034,TRK002,PB01,20240101,2024-01-01 00:00:00,Scheduled,Fluid Top-Up,4.5,1890.53,1567.37,Tech-A
