reading_id,equipment_id,site_id,date_key,timestamp,vibration_g,temperature_c,pressure_psi,hours_operated,load_tonnes,fuel_consumption_lph
1,TRK001,PB01,20240101,2024-01-01 00:00:00,1.0,70.7,44.0,48605.9,231.7,235.0
2,TRK001,PB01,20240101,2024-01-01 06:00:00,2.5,90.1,54.4,48610.9,204.1,185.9
3,TRK001,PB01,20240102,2024-01-02 00:00:00,1.03,88.5,44.1,48616.9,189.3,209.7
4,TRK001,PB01,20240102,2024-01-02 06:00:00,1.66,81.3,50.0,48622.9,237.6,188.0
5,TRK001,PB01,20240103,2024-01-03 00:00:00,1.85,72.1,37.4,48628.5,215.0,232.3
6,TRK001,PB01,20240103,2024-01-03 06:00:00,0.91,86.5,39.8,48634.4,184.4,225.8
7,TRK001,PB01,20240104,2024-01-04 00:00:00,0.65,71.4,40.3,48640.4,230.0,250.4
8,TRK001,PB01,20240104,2024-01-04 06:00:00,2.47,84.6,35.2,48646.0,186.9,190.7
9,TRK001,PB01,20240105,2024-01-05 00:00:00,1.71,86.5,39.1,48651.3,185.5,222.4
10,TRK001,PB01,20240105,2024-01-05 06:00:00,0.51,88.1,,48656.6,184.5,268.3
11,TRK001,PB01,20240106,2024-01-06 00:00:00,2.17,82.5,38.0,48662.1,233.9,201.0
12,TRK001,PB01,20240106,2024-01-06 06:00:00,0.71,88.4,52.7,48667.3,238.6,261.1
13,TRK001,PB01,20240107,2024-01-07 00:00:00,1.97,75.0,53.6,48672.4,186.5,267.2
14,TRK001,PB01,20240107,2024-01-07 06:00:00,0.94,89.5,44.2,48678.2,199.7,266.4
15,TRK001,PB01,20240108,2024-01-08 00:00:00,1.78,77.0,54.6,48683.5,237.8,206.5
16,TRK001,PB01,20240108,2024-01-08 06:00:00,1.37,86.9,41.3,48688.6,222.5,180.2
17,TRK001,PB01,20240109,2024-01-09 00:00:00,1.94,87.3,48.4,48694.2,230.9,252.0
18,TRK001,PB01,20240109,2024-01-09 06:00:00,1.12,77.3,43.0,48699.5,234.2,241.6
19,TRK001,PB01,20240110,2024-01-10 00:00:00,0.5,73.6,43.6,48705.0,208.4,270.1
20,TRK001,PB01,20240110,2024-01-10 06:00:00,0.84,67.5,45.3,48710.8,193.5,199.9
21,TRK001,PB01,20240111,2024-01-11 00:00:00,1.45,90.5,36.5,48716.0,194.6,245.6
22,TRK001,PB01,20240111,2024-01-11 06:00:00,2.0,88.1,37.1,48721.1,195.0,264.8
23,TRK001,PB01,20240112,2024-01-12 00:00:00,1.84,94.6,46.9,48726.9,229.8,234.8
24,TRK001,PB01,20240112,2024-01-12 06:00:00,1.99,79.2,40.2,48732.8,196.5,187.7
25,TRK001,PB01,20240113,2024-01-13 00:00:00,1.14,81.2,37.8,48738.0,212.6,221.6
26,TRK001,PB01,20240113,2024-01-13 06:00:00,1.34,92.1,,48743.2,201.1,255.3
27,TRK001,PB01,20240114,2024-01-14 00:00:00,1.34,87.4,45.9,48749.2,200.2,247.9
28,TRK001,PB01,20240114,2024-01-14 06:00:00,0.83,79.0,37.6,48754.6,218.6,193.6
29,TRK001,PB01,20240122,2024-01-22 00:00:00,1.26,71.3,41.5,48759.6,184.9,181.9
30,TRK001,PB01,20240122,2024-01-22 06:00:00,2.5,75.5,48.0,48765.2,181.2,195.2
31,TRK001,PB01,20240123,2024-01-23 00:00:00,1.63,71.5,49.0,48770.8,229.2,276.5
32,TRK001,PB01,20240123,2024-01-23 06:00:00,0.55,74.4,48.5,48776.0,217.6,190.2
33,TRK001,PB01,20240124,2024-01-24 00:00:00,1.7,68.6,54.7,48781.8,200.5,265.0
